precio,metraje,lugar,titulo,url
470.000,109,"Madrid, Fuencarral",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/545039.html
589.999,171,"Madrid, Fuencarral",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/538672.html
245.000,67,"Madrid, Fuencarral",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539224.html
130.000,60,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/536791.html
129.900,75,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542443.html
110.000,46,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/356261.html
280.000,84,"Madrid, Fuencarral",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/525940.html
205.000,81,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/538350.html
115.000,71,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544893.html
125.000,43,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543071.html
206.000,112,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/525520.html
38.000,63,"Madrid, Villaverde",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/517179.html
158.000,74,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/528168.html
160.000,92,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/535166.html
799.900,151,"Madrid, Chamberí",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/524302.html
379.900,60,"Madrid, Chamberí",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/534140.html
149.900,34,"Madrid, Chamberí",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/508131.html
186.000,115,"Madrid, Puente De Vallecas",Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/madrid/madrid/538172.html
98.000,31,"Madrid, Puente De Vallecas",Ático en venta,https://www.tecnocasa.es/venta/atico/madrid/madrid/544549.html
13.000,25,"Madrid, Puente De Vallecas",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/538708.html
365.000,90,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541706.html
220.000,85,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/545089.html
264.900,100,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543521.html
248.500,85,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541912.html
189.900,110,"Madrid, Puente De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543580.html
430.000,114,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541459.html
435.000,82,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544292.html
270.000,64,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/533237.html
130.999,52,"Madrid, San Blas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543861.html
215.000,108,"Madrid, Puente De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/529444.html
156.900,46,"Madrid, Barajas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539153.html
255.000,72,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/538842.html
125.000,96,"Madrid, San Blas",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/542566.html
153.000,327,"Madrid, Usera",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/525541.html
145.000,52,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544532.html
360.000,69,"Madrid, Tetuán",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/319559.html
457.500,75,"Madrid, Tetuán",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539816.html
14.000,12,"Madrid, Villa De Vallecas",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/535746.html
129.000,36,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539254.html
9.000,11,"Madrid, Villa De Vallecas",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/539575.html
220.000,90,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/540722.html
255.000,116,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/537206.html
110.000,141,"Madrid, Ciudad Lineal",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/526810.html
135.000,53,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/524898.html
145.000,67,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/536906.html
89.950,129,"Madrid, Carabanchel",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/543631.html
639.000,120,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/545147.html
649.000,100,"Madrid, Tetuán",Ático en venta,https://www.tecnocasa.es/venta/atico/madrid/madrid/544945.html
130.000,68,"Madrid, Carabanchel",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/541403.html
200.000,98,"Madrid, Carabanchel",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/541402.html
292.000,87,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/540699.html
119.000,57,"Madrid, Puente De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544070.html
160.000,56,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543975.html
195.000,61,"Madrid, Hortaleza",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544845.html
188.700,70,"Madrid, Puente De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541599.html
145.000,86,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544530.html
130.000,73,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544439.html
185.000,131,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/540132.html
141.350,56,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544040.html
120.000,76,"Madrid, Villa De Vallecas",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/544755.html
175.000,131,"Madrid, Villa De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542640.html
165.000,50,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544767.html
110.000,27,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544474.html
241.100,102,"Madrid, Puente De Vallecas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542015.html
164.000,65,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/537023.html
139.000,77,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/545057.html
15.000,13,"Madrid, Carabanchel",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/541494.html
2.500.000,2928,"Madrid, Carabanchel",Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/madrid/madrid/333557.html
85.000,40,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/328166.html
2.000.000,806,"Madrid, Carabanchel",Edificio en venta,https://www.tecnocasa.es/venta/edificio/madrid/madrid/537841.html
279.500,68,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541769.html
298.000,78,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541468.html
318.700,78,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541773.html
183.000,85,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543982.html
20.000,42,"Madrid, Puente De Vallecas",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/538707.html
195.000,92,"Madrid, San Blas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544120.html
179.000,83,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/533088.html
129.000,63,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543147.html
65.000,54,"Madrid, Puente De Vallecas",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/503382.html
225.000,89,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/538400.html
135.000,67,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543517.html
136.000,67,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543641.html
255.000,89,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/545070.html
160.000,67,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544272.html
339.000,67,"Madrid, Centro",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543509.html
450.000,171,"Madrid, Ciudad Lineal",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544349.html
135.000,64,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542976.html
160.000,37,"Madrid, Chamberí",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/538945.html
150.000,76,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/537702.html
300.000,126,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542297.html
17.000,85,"Madrid, Barajas",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/543463.html
177.000,50,"Madrid, Moncloa - Aravaca",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/545112.html
14.000,9,"Madrid, Villaverde",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/541778.html
249.900,101,"Madrid, Barajas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539329.html
65.000,56,"Madrid, Villaverde",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/540190.html
530.000,103,"Madrid, Retiro",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/228466.html
192.000,70,"Madrid, Latina",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/230340.html
77.260,65,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544869.html
10.000,5,"Madrid, Usera",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/512045.html
159.000,80,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/531002.html
125.000,56,"Madrid, Usera",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/529938.html
289.000,77,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543783.html
259.000,100,"Madrid, Carabanchel",Casa en venta,https://www.tecnocasa.es/venta/casa/madrid/madrid/545000.html
339.000,52,"Madrid, Moncloa - Aravaca",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/211178.html
379.000,108,"Madrid, San Blas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/541656.html
225.000,98,"Madrid, Villaverde",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/539664.html
359.000,125,"Madrid, San Blas",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543788.html
599.900,92,"Madrid, Chamberí",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543454.html
399.500,180,"Madrid, Puente De Vallecas",Edificio en venta,https://www.tecnocasa.es/venta/edificio/madrid/madrid/537110.html
280.000,83,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542794.html
535.000,147,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/537610.html
246.000,74,"Madrid, Arganzuela",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/544422.html
195.000,90,"Madrid, San Blas",Casa en venta,https://www.tecnocasa.es/venta/casa/madrid/madrid/541690.html
90.000,35,"Madrid, Moncloa - Aravaca",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/538601.html
110.000,94,"Madrid, Villaverde",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/535348.html
330.000,83,"Madrid, Hortaleza",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/542514.html
80.000,40,"Madrid, Tetuán",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/madrid/madrid/544741.html
235.000,95,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/522150.html
475.000,128,"Madrid, Carabanchel",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/543774.html
179.000,60,"Madrid, Tetuán",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/madrid/madrid/308869.html
900.000,236,"Madrid, Fuencarral",Casa en venta,https://www.tecnocasa.es/venta/casa/madrid/madrid/535085.html
475.000,79,"Madrid, Fuencarral",Piso en venta,https://www.tecnocasa.es/venta/piso/madrid/madrid/525605.html
