precio,metraje,lugar,titulo,url
360.000,80,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/539888.html
130.000,131,"Barcelona, Sant Martí",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/539682.html
60.000,123,Monistrol De Montserrat,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/monistrol-de-montserrat/542620.html
295.000,125,"Barcelona, Sant Andreu",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/544649.html
76.000,66,"Barcelona, Nou Barris",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/544525.html
289.000,248,Lliçà D'Amunt,Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/llica-d-amunt/538361.html
449.999,4286,Granollers,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/granollers/370953.html
99.999,735,Les Franqueses Del Vallès,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/les-franqueses-del-valles/353564.html
136.000,86,Granollers,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/granollers/350342.html
240.000,264,Granollers,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/granollers/346311.html
125.000,67,Canovelles,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/canovelles/339519.html
180.000,250,Granollers,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/granollers/479740.html
249.999,3691,Granollers,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/granollers/492464.html
62.000,1962,Cànoves I Samalús,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/canoves-i-samalus/519308.html
69.000,87,Canovelles,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/canovelles/523661.html
15.000,571,Vilanova Del Vallès,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/vilanova-del-valles/529116.html
78.500,74,Granollers,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/granollers/529730.html
217.500,80,Les Franqueses Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/les-franqueses-del-valles/531333.html
219.999,154,Cardedeu,Ático en venta,https://www.tecnocasa.es/venta/atico/barcelona/cardedeu/533362.html
189.999,80,La Roca Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/la-roca-del-valles/537549.html
189.999,120,Bigues I Riells,Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/bigues-i-riells/537759.html
217.500,87,Granollers,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/granollers/537873.html
399.999,293,Bigues I Riells,Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/bigues-i-riells/537982.html
250.000,117,Santa Eulàlia De Ronçana,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/santa-eulalia-de-roncana/539374.html
85.000,120,Les Franqueses Del Vallès,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/les-franqueses-del-valles/539389.html
199.999,65,Les Franqueses Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/les-franqueses-del-valles/539955.html
215.000,108,Granollers,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/granollers/541457.html
219.999,112,Granollers,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/granollers/541466.html
65.000,650,Santa Eulàlia De Ronçana,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/santa-eulalia-de-roncana/541593.html
229.999,109,Granollers,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/granollers/543511.html
100.000,90,Les Franqueses Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/les-franqueses-del-valles/543555.html
87.500,577,Bigues I Riells,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/bigues-i-riells/544313.html
170.000,71,"L'Hospitalet De Llobregat, La Florida - Les Planes",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/l-hospitalet-de-llobregat/544204.html
159.000,71,"L'Hospitalet De Llobregat, Santa Eulàlia",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/l-hospitalet-de-llobregat/537479.html
160.000,85,Ripollet,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/ripollet/534729.html
260.000,65,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/538178.html
555.000,113,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/539883.html
185.000,75,"Barcelona, Horta Guinardó",Ático en venta,https://www.tecnocasa.es/venta/atico/barcelona/barcelona/543927.html
155.000,61,Esplugues De Llobregat,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/esplugues-de-llobregat/538986.html
367.000,76,"Barcelona, Horta Guinardó",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/544885.html
149.000,64,"Barcelona, Nou Barris",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/544611.html
339.000,108,"Barcelona, Sants - Montjuïc",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/532372.html
310.000,98,"Barcelona, Sants - Montjuïc",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/545100.html
229.000,64,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/222988.html
165.000,90,Malgrat De Mar,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/malgrat-de-mar/544730.html
333.000,81,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/543041.html
125.000,61,"Barcelona, Horta Guinardó",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/545223.html
265.000,130,Sant Boi De Llobregat,Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/sant-boi-de-llobregat/543038.html
465.000,200,"Barcelona, Eixample",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/539234.html
265.000,95,Barberà Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barbera-del-valles/539814.html
289.000,73,"Barcelona, Sants - Montjuïc",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/545140.html
29.000,64,"Barcelona, Sants - Montjuïc",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/523236.html
169.000,78,"Sabadell, Concordia",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/545066.html
7.500,15,"Barcelona, Sant Andreu",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/barcelona/530274.html
55.000,44,"Barcelona, Horta Guinardó",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/545213.html
188.000,179,"Barcelona, Eixample",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/545104.html
185.000,74,Sant Joan Despí,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sant-joan-despi/513534.html
205.000,118,"Sabadell, La Creu De Barberà",Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/sabadell/544295.html
336.000,130,"Mataró, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/mataro/539383.html
170.000,67,"Barcelona, Horta Guinardó",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/545194.html
327.000,110,"Barcelona, Gràcia",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/541996.html
255.000,65,"Barcelona, Gràcia",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/524767.html
189.000,77,Sant Joan Despí,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sant-joan-despi/543953.html
140.000,62,"Barcelona, Nou Barris",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/544781.html
285.000,57,"Barcelona, Gràcia",Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/barcelona/504407.html
137.000,45,"L'Hospitalet De Llobregat, Santa Eulàlia",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/l-hospitalet-de-llobregat/543308.html
65.000,21,"Barcelona, Sants - Montjuïc",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/543016.html
150.000,76,"Badalona, Artigas - Llefià",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/badalona/542985.html
220.000,113,"Sabadell, Sant Oleguer",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/539442.html
415.000,246,Sant Quirze Del Vallès,Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/sant-quirze-del-valles/539752.html
269.000,96,"Sabadell, Can Llonch",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/540656.html
169.000,83,"Sabadell, Gràcia",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/541075.html
195.000,100,"Sabadell, Gràcia",Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/sabadell/541314.html
135.000,82,"Sabadell, Les Termes",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/543516.html
260.000,79,"Sabadell, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/538694.html
136.000,838,Sentmenat,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/barcelona/sentmenat/535671.html
139.000,79,"Sabadell, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/525456.html
315.000,105,Sant Boi De Llobregat,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sant-boi-de-llobregat/544514.html
380.000,100,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/541879.html
330.000,101,Sant Cugat Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sant-cugat-del-valles/545188.html
129.900,69,"Rubí, Estació - Les Torres",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/rubi/539043.html
145.000,65,"Badalona, Bufalà",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/badalona/544830.html
200.000,70,"Cornellà De Llobregat, La Gavarra",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/cornella-de-llobregat/540059.html
69.500,70,Malgrat De Mar,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/malgrat-de-mar/545179.html
175.000,108,"Mataró, Cerdanyola",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/mataro/537735.html
147.000,250,Malgrat De Mar,Edificio en venta,https://www.tecnocasa.es/venta/edificio/barcelona/malgrat-de-mar/545175.html
312.000,238,"Barcelona, Les Corts",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/542068.html
140.000,70,"Barcelona, Nou Barris",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/544787.html
125.000,66,Premià De Mar,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/premia-de-mar/369043.html
13.400,10,"Barcelona, Eixample",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/barcelona/362816.html
8.500,7,"Barcelona, Eixample",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/barcelona/521490.html
467.000,126,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/541484.html
259.990,77,"Barcelona, Sant Andreu",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/521065.html
120.000,80,"Sabadell, Les Termes",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sabadell/544737.html
90.000,13,"Barcelona, Eixample",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/543899.html
158.000,108,"Badalona, La Salut - Lloreda",Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/badalona/536196.html
165.000,78,Sant Adrià De Besòs,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sant-adria-de-besos/543438.html
135.000,57,Ripollet,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/ripollet/518760.html
189.000,76,Canet De Mar,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/canet-de-mar/545172.html
217.000,110,Viladecans,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/viladecans/235885.html
18.000,20,"Badalona, Bufalà",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/badalona/544609.html
90.000,56,Ripollet,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/ripollet/543757.html
18.000,10,"Barcelona, Sant Andreu",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/barcelona/489147.html
325.000,189,"Barcelona, Sants - Montjuïc",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/543907.html
12.000,10,"Barcelona, Sant Andreu",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/barcelona/337176.html
226.000,77,"Barcelona, Sant Andreu",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/541191.html
13.500,9,"Barcelona, Sant Andreu",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/barcelona/543043.html
14.000,10,"Barcelona, Sant Andreu",Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/barcelona/barcelona/544321.html
313.000,98,Les Franqueses Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/les-franqueses-del-valles/543530.html
139.900,106,"Terrassa, Centre",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/terrassa/543736.html
380.000,157,Ullastrell,Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/ullastrell/542956.html
230.000,146,"Terrassa, Centre",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/terrassa/541666.html
130.000,48,Vacarisses,Casa en venta,https://www.tecnocasa.es/venta/casa/barcelona/vacarisses/541006.html
154.000,90,"Terrassa, Centre",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/terrassa/540144.html
75.000,70,Premià De Dalt,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/premia-de-dalt/543915.html
137.000,94,"Terrassa, Centre",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/terrassa/537701.html
85.000,50,"Mataró, Cerdanyola",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/mataro/544628.html
199.000,116,Vilanova I La Geltrú,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/vilanova-i-la-geltru/541311.html
282.500,148,Parets Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/parets-del-valles/524277.html
189.000,80,Parets Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/parets-del-valles/517303.html
125.000,70,Premià De Dalt,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/premia-de-dalt/543040.html
243.530,117,Mollet Del Vallès,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/mollet-del-valles/541310.html
210.000,70,"Barcelona, Sant Andreu",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/543888.html
230.000,86,"Barcelona, Sant Andreu",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/543881.html
130.000,30,"Barcelona, Ciutat Vella",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/542989.html
130.000,50,"Barcelona, Eixample",Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/barcelona/barcelona/538712.html
175.000,66,Sant Feliu De Llobregat,Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/sant-feliu-de-llobregat/544744.html
165.000,63,"Barcelona, Nou Barris",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/543292.html
147.000,70,"Barcelona, Nou Barris",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/514397.html
275.000,95,"Barcelona, Sants - Montjuïc",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/barcelona/542313.html
332.000,100,"L'Hospitalet De Llobregat, Santa Eulàlia",Piso en venta,https://www.tecnocasa.es/venta/piso/barcelona/l-hospitalet-de-llobregat/542412.html
